District,Zone,Center
Mzuzu City,AREA 1B,AREA 1B
Mzuzu City,AREA 1B,HABITAT
Mzuzu City,AREA 1B,ST AUGUSTINE
Mzuzu City,AREA 1B,VIYELE
Mzuzu City,CHIBAVI,CHIBANJA
Mzuzu City,CHIBAVI,CHIBAVI
Mzuzu City,CHIBAVI,MCHENGAUTUWA 2
Mzuzu City,CHIBAVI,NKHOKWE
Mzuzu City,KATOTO,MCHENGAUTUWA 1
Mzuzu City,KATOTO,KANTHETE
Mzuzu City,KATOTO,KATOTO
Mzuzu City,KATOTO,KAWUWA
Mzuzu City,KATOTO,MZUZU SOS
Mzuzu City,KAVIWALE,GEISHA
Mzuzu City,KAVIWALE,KAVIWALE
Mzuzu City,KAVIWALE,MAGEZA
Mzuzu City,KAVIWALE,NAMBO
Mzuzu City,KAVIWALE,SONDA
Mzuzu City,LUPASO,LUPASO
Mzuzu City,LUPASO,MSIRO
Mzuzu City,LUPASO,MZUZU FOUNDATION
Mzuzu City,LUPASO,ST FAUSTINA
Mzuzu City,MASASA,GATE
Mzuzu City,MASASA,KALIGO
Mzuzu City,MASASA,MASASA
Mzuzu City,MASASA,MSONGWE
Mzuzu City,MZUZU CCAP,CCAP
Mzuzu City,MZUZU CCAP,CHIPUTULA
Mzuzu City,MZUZU CCAP,LUNYANGWA
Mzuzu City,MZUZU CCAP,MOYALE
Mzuzu City,MZUZU CCAP,ST PETERS
Mzuzu City,NKHORONGO,DOROBA
Mzuzu City,NKHORONGO,MSAZI
Mzuzu City,NKHORONGO,MTENDE
Mzuzu City,NKHORONGO,NKHORONGO
Mzuzu City,NKHORONGO,THANDAZGA
Mzuzu City,ZOLOZOLO,CHAMALAZA
Mzuzu City,ZOLOZOLO,CHING'AMBO
Mzuzu City,ZOLOZOLO,MATOPE
Mzuzu City,ZOLOZOLO,MGANTHIRA
Mzuzu City,ZOLOZOLO,ZOLOZOLO
Mzimba North,BULALA,LWANKHOZI
Mzimba North,BULALA,BOLOMOMBWE
Mzimba North,BULALA,BULALA
Mzimba North,BULALA,CHAKAMUKA
Mzimba North,BULALA,CHING'ANYI
Mzimba North,BULALA,KABOWOZGA
Mzimba North,BULALA,KAWIRUWIRU
Mzimba North,BULALA,LUWEWE
Mzimba North,BULALA,THALE
Mzimba North,BULALA,VISENTHE
Mzimba North,BULALA,VITHANDO
Mzimba North,BWENGU,BWENGU
Mzimba North,BWENGU,CHANOLO
Mzimba North,BWENGU,CHISKOMBE
Mzimba North,BWENGU,CHITOKOTO
Mzimba North,BWENGU,JOMBO
Mzimba North,BWENGU,KABANDA
Mzimba North,BWENGU,KACHECHE
Mzimba North,BWENGU,KATOPE
Mzimba North,BWENGU,LUZI
Mzimba North,BWENGU,MTENDERE
Mzimba North,BWENGU,MWALIPATA
Mzimba North,BWENGU,NJAKWA
Mzimba North,BWENGU,SONGAMINO
Mzimba North,BWENGU,ST DOMINIC
Mzimba North,BWENGU,ST VINCENT
Mzimba North,BWENGU,THUMBI
Mzimba North,BWENGU,TUKUYU
Mzimba North,CHANYAMA,CHABOLI
Mzimba North,CHANYAMA,CHAMBOMI
Mzimba North,CHANYAMA,CHAMPHUMPHI
Mzimba North,CHANYAMA,CHANYAMA
Mzimba North,CHANYAMA,KAMSALANGO
Mzimba North,CHANYAMA,KANG'OMA
Mzimba North,CHANYAMA,KANYANKHUNDE
Mzimba North,CHANYAMA,KATUNGUWIRI
Mzimba North,CHANYAMA,LUKWELUKWE
Mzimba North,CHANYAMA,MAZAZA
Mzimba North,CHANYAMA,MWAWI
Mzimba North,CHANYAMA,ST BENARD
Mzimba North,CHANYAMA,ST MARY'S
